Time Series ID	Fly ID	Fly Genotype 	Age	Sex	Stimulus 	Frames (imaging)	Rotation	Z-depth	Layer 	Imaging Frame Rate (Hz)	Wavelength	Transmission (%)	Gain	Offset 	Color Filter 	ND	Dither Hold	isMoving?	isResponding?	comments
161204_fly5_LDM_030	5	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	6	F	300ms_searchStimFlash	5000	20	12067.28	2	80	920	11	95	75	482/18	1.3	0	0	1	"cells 1-8 responding, mild movement"
161204_fly5_LDM_031	5	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	20	12067.28	2	80	920	12	95	75	482/18	1.3	0	1		moderate movement
161204_fly5_LDM_032	5	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	6	F	300ms_searchStimFlash	5000	26	12076.6	2	80	920	10	95	75	482/18	1.3	0	0	1	cells 1-3 responding
161204_fly5_LDM_033	5	21Dhh-ASAP2f_ortC1-3lexA-lexAopTNT	6	F	fullfield_LDflash20ms_Gray500ms	10000	26	12076.6	2	80	920	11	95	75	482/18	1.3	0	0		mild movement
161204_fly6_LDM_034	6	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	18	12035.42	2	80	920	11	95	75	482/18	1.3	0	0	1	
161204_fly6_LDM_035	6	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	18	12035.42	2	80	920	12	95	75	482/18	1.3	0	0		
161204_fly6_LDM_036	6	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	22	12036.59	2	80	920	10	95	75	482/18	1.3	0	0	1	all cells responding
161204_fly6_LDM_037	6	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	12036.59	2	80	920	11	95	75	482/18	1.3	0	0		mild movement
161204_fly6_LDM_038	6	21Dhh-ASAP2f_ortC1-3lexA	6	F	300ms_searchStimFlash	5000	22	12035.84	2	80	920	10	95	75	482/18	1.3	0	0	1	all cells responding
161204_fly6_LDM_039	6	21Dhh-ASAP2f_ortC1-3lexA	6	F	fullfield_LDflash20ms_Gray500ms	10000	22	12035.84	2	80	920	10	95	75	482/18	1.3	0	0		
